date,excl,incl
Oct-21,88.02681992,
Nov-21,88.88888889,
Dec-21,89.17624521,
Jan-22,89.08045977,
Feb-22,88.79310345,
Mar-22,88.69731801,
Apr-22,88.2183908,
May-22,88.40996169,
Jun-22,90.70881226,
Jul-22,91.66666667,
Aug-22,92.91187739,
Sep-22,88.88888889,
Oct-22,98.46743295,
Nov-22,98.27586207,
Dec-22,102.2030651,
Jan-23,102.6819923,
Feb-23,102.6819923,
Mar-23,102.5862069,
Apr-23,101.6283525,
May-23,100.862069,
Jun-23,100,100
Jul-23,119,106.03
Aug-23,120,104.69
Sep-23,120,104.89
Oct-23,119,108.43
Nov-23,119,108.81
Dec-23,118,102.59
Jan-24,118,103.54
Feb-24,118,102.97
Mar-24,118,107.95
Apr-24,116,105.94
May-24,116,107.38
Jun-24,116,107.47
Jul-24,117,100.57
Aug-24,117,85.92
Sep-24,116,79.6
Oct-24,116,69.83
Nov-24,117,86
Dec-24,117,85
Jan-25,117,92
Feb-25,117,90
Mar-25,118,98
Apr-25,118,99
May-25,118,101
Jun-25,117,101
Jul-25,123,114
Aug-25,123,107
Sep-25,123,107